,letter,frequency
290,পাখিরউড়ে,1
291,ছাদে কিয়দ্দূরে,1
292,সবইনতুন,1
293,দিনটিকে ,1
294,কি বিশিষ্ট,1
295,তুলেছে ,1
296,গলিতেতেমন,1
297,উৎসবের ,1
298,সুড়ো,1
299,অন্তরেএই,1
300,ফুল কেন,1
301,নাচানো,1
302,প্রস্ফুটিত কেন,1
303,ব্যক্তিহাত,1
304,গাইছেন,1
305,বিস্মৃতএক,1
306,বঙ্কিম,1
307,নক্ষত্রদের ,1
308,নববর্ষের,1
309,আহ্বান সত্যি,1
310,বুড়োরমিলিত,1
311,নৃত্য,1
312,আমাকেচকিতে,1
313,জানিয়েভুলিয়ে,1
314,এবংসমাজের,1
315,কাণ্ডারিদের,1
316,ভ্রূকুটি হঠাৎ,1
317,পূর্ণিমাপ্রখর,1
318,সুন্দর স্বতন্ত্র,1
319,বিভোর এ,1
320,গ্যাছেপাথরের,1
321,সেখানেশেকড়,1
322,মদ্যপ,1
323,গেলাশের,1
324,দিকেতাকায় ,1
325,আয়নায়মাঝে,1
326,কিংবাচামেলী,1
327,হস্তময়,1
328,ঘূণপোকা ,1
329,সূতো,1
330,ছেড়েলাটাই,1
331,ঘুড়ি উড্ডীন,1
332,কোনোদিন হৃদয়ে,1
333,প্রজপতি ,1
334,শোঁকে,1
335,আমারসর্বক্ষণ,1
336,রুদ্ধশ্বাসআমি,1
337,হায় জঙ্গলও,1
338,ঘোরে আমার,1
339,ছায়া সাপ,1
340,ওড়ে আমি,1
341,কবরখানায় ,1
342,ঘিরেবেহাগের,1
343,নালিশ ,1
344,আমারকথা,1
345,সরোবরতৈরি,1
346,ফোটাতেহাওয়ায়,1
347,কথারমুখ,1
348,আররঙ,1
349,নাপারার,1
350,প্রায়শ এইটুকু,1
351,স্পষ্টতই,1
352,করেছ ,1
353,বাকপটুনই,1
354,চারুবাকের এই,1
355,যথার্থই,1
356,আমিলোকটা,1
357,স্বার্থপর ,1
358,সযত্নেসঞ্চিত,1
359,পাখিরকোন্‌,1
360,ছোঁব ,1
361,কিছুঅনাবশ্যক ,1
362,বকুনি ,1
363,ভালোবাসারমঞ্জরী,1
364,ঢালে ,1
365,সেগুলোতুমি,1
366,ঘুমাচ্ছিল,1
367,‘স্বপ্ন,1
368,অন্তরীণউঠেছিল,1
369,আঁচড়পড়ে,1
370,দু চোখমেলে,1
371,অদূরে দেখে,1
372,কোনোব্যাধের,1
373,নিশানা,1
374,নাচপাতায়,1
375,রয়স্পন্দিত,1
376,গুপ্তনিষাদের,1
377,যায় দেবতার,1
378,জ্যোৎস্না জ্যোৎস্নায়,1
379,পড়েপোড়া,1
380,খিলখিলিয়ে,1
381,হেসেঢেকে,1
382,তারস্বপ্নগুলোকে,1
383,রাখছিল,1
384,পেয়ালায় সে,1
385,মিনিটে,1
386,হাজারপ্রেত ,1
387,ফেলছেঘড়ির,1
388,সেকেন্ডের,1
389,কাঁটাগুলো সময়,1
390,প্রেতবাহিনীহাতে,1
391,গোণা,1
392,মানুষকেঘরছাড়া,1
393,রোদ্দুরেবজ্রপাতের,1
394,দরনে,1
395,থেকেগলগল,1
396,প্রেতবাহিনীর,1
397,আহলাদে জুড়ে,1
398,খোশগল্প ,1
399,একরাসায়নিক,1
400,করেপ্রেত,1
401,খেদহীন ,1
402,রাতেরতৃতীয়,1
403,কবিগণ,1
404,ভয়ার্তভাঙা,1
405,করছেনতাঁদের,1
406,পাণ্ডুলিপিসমূহ,1
407,নয় নাগরিকদের,1
408,মুখগুলো,1
409,নিজস্বমানুষের,1
410,করেবিচিত্র,1
411,জীবজন্তুর,1
412,পেরেকময়,1
413,মাথারদুঃস্বপ্নের,1
414,স্বপ্নচারীরসারা,1
415,গাঁথা ,1
416,দুটোজলপায়রার,1
417,জাগ্রত ,1
418,সহবাস,1
419,করেবেদনা,1
420,হই ১৪০০,1
421,চেয়েক্রামগত,1
422,চর্তুদিকে,1
423,বিভীষিকানানান,1
424,তাকে হিয়ায়িত,1
425,মিসাইল,1
426,সোমালিয়ায়,1
427,মায়েরা ,1
428,বোনেরা বোম্বে ,1
429,দিল্লী,1
430,নগরীতে,1
431,মানুষ ভোলায়,1
432,মরেছিল,1
433,মানুষ প্রচ্ছন্ন,1
434,মানিকগঞ্জে,1
435,মায়েরা,1
436,বোনেরা সেখানে,1
437,মানুষ এখানে,1
438,‘মানুষের,1
439,ব্যধভূমিতে,1
440,মুখপাখি,1
441,খুব তবু,1
442,কম্পিউটারেরঝকঝকে,1
443,বিজ্ঞাপিত,1
444,ভাঙনপ্রবণ,1
445,ফরমাশ,1
446,মনুষ্যত্বশ্মশানে,1
447,গোরস্থানে,1
448,প্রাণলুটে,1
449,১৪০০,1
450,সূচনায়,1
451,বিশ্ববাসীএসো,1
452,গানেগোধূলির,1
453,ষড়যন্ত্রকারীদেরকালো,1
454,ফোলি চারণ,1
455,‘সকল,1
456,পশুপাশি,1
457,সংখ্যা ,1
458,তিনশো,1
459,তের ৩১৩,1
460,লকেটের,1
461,দোলেসারাক্ষণ,1
462,মায়াবী এই,1
463,মেলেআমার,1
464,অবিস্মরণীভাবেগোলাপ,1
465,হঠাৎ দেয়াল,1
466,সিংহাসন এই,1
467,উঠলেইএকজন,1
468,পথিককে,1
469,গীতে,1
470,সত্তা নাবিকের,1
471,নিরাপত্তাময়,1
472,জলপথে,1
473,বেলা প্রেমিকের,1
474,মদির বারবার,1
475,কুলোআর,1
476,সংখ্যাকিসের,1
477,গুণফল ,1
478,জানিনা অবশ্যই,1
479,পুণ্যফল,1
480,বাজেএই,1
481,মূকের,1
482,সঙ্গীত যখন,1
483,বাক্যশোভা এই,1
484,ব্যর্থতম,1
485,উৎস যখন,1
486,জ্বলে প্রতিটি,1
487,পাত্থজন,1
488,হয় হতচ্ছাড়া,1
489,তীরভূমি,1
490,বন্দর নাবিকের,1
491,মুখর যখন,1
492,মসলিনের,1
493,ওড়ে বিশ্বের,1
494,সংঘর্যসমূহ,1
495,থেমে যখন,1
496,কাঁপে এই,1
497,সম্প্রদায়,1
498,একসঙ্গে,1
499,দৃষ্টি এই,1
500,নৈরাশ্যবাদী,1
501,ভেতরগান,1
502,জলকন্যা ৩১৩,1
503,তসবিহ ধাবমান,1
504,দেয়সীমাহীন,1
505,নিস্পৃহতায় নিষ্ঠুরতম,1
506,বাজে সবচেয়ে,1
507,পার্কে ভয়াল,1
508,বর্ণচ্ছটায় ,1
509,আছি এই,1
510,সংখ্যাটিকে,1
511,গিয়েঅনেক,1
512,খানাখন্দে,1
513,কাঁটাতারে,1
514,কোনোকূলকিনারা,1
515,সেইচিরকেলে,1
516,এখানেএসেছি,1
517,কর্তব্য,1
518,আমার আখেরে,1
519,নিশ্চুপ চোখ,1
520,মগডালে ,1
521,ধ্বনি মাঝে,1
522,শরীরে হয়তো,1
523,জন্মান্ধজনউন্নয়নশীল,1
524,দুর্নীতির,1
525,অন্ধকারেপথ,1
526,চলবে ,1
527,অন্বেষায়,1
528,আমিপথের,1
529,ভিড়েকোন্‌,1
530,আমি বলে,1
531,যীশু,1
532,শাক্যমুণি ,1
533,একপালে,1
534,যেমনভুলুন্ঠিত,1
535,খিম্‌চে,1
536,শেকড়বাকড়তেমনি,1
537,বাড়িয়েছি,1
538,আমারস্বপ্নাদ্য,1
539,সংখ্যাটির,1
540,স্বপ্নাদিষ্ট,1
541,তান রাজবন্দীগণ,1
542,দেবদূতের,1
543,নীলিমায়জন্মান্ধ,1
544,ছেড়েলাঞ্ছিত ,1
545,জননেতা,1
546,ভূষিত,1
547,জয়মাল্যে স্বৈরতন্ত্রী,1
548,রাষ্ট্রপুঞ্জে,1
549,পানঅবলীলায় ,1
550,পাতায় ফিরে,1
551,আসেভাগ,1
552,ভাষীর,1
553,যাপনে ,1
554,ভেতরে ৩১৩,1
555,ঝাপ্টায়,1
556,উপকূলের,1
557,ঘুমসত্তা,1
558,লীনঃ,1
559,কয়েকটিপাখি,1
560,অকপটসততা,1
561,প্রদক্ষিণ,1
562,ডানায়ঢেউয়ের,1
563,স্বরগ্রাম ,1
564,ভবিষ্যতেরনীলকান্ত,1
565,বিচ্ছুরণ ,1
566,আমারতোএকসঙ্গে,1
567,দিয়েবেরিয়ে,1
568,পর্যটনে ,1
569,নৌযানের,1
570,একবিপর্যয়ের,1
571,ধুইয়েউতরোল,1
572,জলরাশি ,1
573,গাঙেরজলজ,1
574,মৎস্যঘ্রাণ,1
575,নিয়েঅবসাদের,1
576,শয্যায়শুয়ে,1
577,সহযাত্রীরা,1
578,হয়েহিংস্র,1
579,চিৎকারেচিন্তা,1
580,যাওয়ারপরের,1
581,দিইজলচর,1
582,হবেঅনেক,1
583,বলয়ে এক,1
584,অগ্নিপথ,1
585,অগ্নিপথেযেতে,1
586,ব,1
587,দ্বীপেরইতিহাস,1
588,অগ্নিবর্ণ,1
589,বেধড়কদৌড়ুতে,1
590,দেখুক সেদিকে,1
591,বন্দুমাত্র,1
592,কিনেই ,1
593,ছুটছেই ,1
594,মোহনএক,1
595,ঘোরাতেইসে,1
596,মুহূর্তে সে,1
597,পড়েনি ওর,1
598,দাঁড়াচ্ছে,1
599,স্বেদাক্ত,1
600,আকাঙ্ক্ষাকে,1
601,পারেনিএই,1
602,যতইথাবা,1
603,সবাক,1
604,দমে,1
605,সেনয় ,1
606,সঞ্জীবনী,1
607,ঘোড়াকেটগবগে,1
608,মৃত্তিকাবিহারী,1
609,মুহূর্তেচলে,1
610,মহানন্দেবেশ,1
611,মর্ত্যে,1
612,বারবার জানি,1
613,সিংহদ্বারপেরুলেই,1
614,সবউপচার ,1
615,স্তবকরেছি,1
616,সকালসন্ধ্যা ,1
617,সিঁড়ি রক্তাপ্লুত ,1
618,নেমেছি,1
619,খনিতে ,1
620,ফিরিপথে,1
621,কেইনের,1
622,প্রহরীররক্তচক্ষু,1
623,বধিরহ য়ে,1
624,ডাকবে,1
625,যেখানেআমার,1
626,মানেঅলৌকিক,1
627,সিংহদ্বার,1
628,থেকেহতাশায়,1
629,ভগ্নরথ,1
630,ঢেকেগেছেন,1
631,পিতামহগণ,1
632,শপথ প্রাপ্য,1
633,অঙ্গুরি,1
634,অজ্ঞাতবাসের,1
635,পরআমার,1
636,অন্ধকারেবস্তুত,1
637,বারে দেখেছি,1
638,ঝড়ঝাপ্টা,1
639,এক্কা,1
640,দোক্কা,1
641,খবরসহজে,1
642,তারেকখন,1
643,গান্ধারে আমিতো,1
644,জ্বর ,1
645,অঙ্গুরি ,1
646,ঘাস গৃহত্যাগী,1
647,স্বেদ ,1
648,ঘ্রাণলেগে,1
649,ভালোবাসবারসাধ,1
650,মুমূর্ষুকে,1
651,আকাশবুকে,1
652,দেখাতেও,1
653,বাঁধবার ,1
654,শিক্ষিত,1
655,দাবিকরতে,1
656,বয়সেও ,1
657,যদিবলি ,1
658,দু তিনটিভাষার,1
659,কতক,1
660,অর্থসমেত,1
661,পারি লিখতেও,1
662,সমাজেরকোনও,1
663,উপঢৌকন,1
664,হ লেওঅচেনাও,1
665,পাখিটাআমার,1
666,চিঁড়া,1
667,মুড়িদিলে,1
668,পাখিরগীতসুধা,1
669,পথেরধুলোবালি,1
670,সন্ধ্যায় কেন,1
671,সেখানেগিয়ে ,1
672,মাঝেবিছানায়,1
673,যেনআরও,1
674,হাতএতটুকু,1
675,স্বদৃষ্টিতে ,1
676,থেকেযেতে,1
677,স্থানেরসবকিছু,1
678,জানাশোনা,1
679,মৃত্যুরখবর,1
680,টেলিফোন কখনও,1
681,মারফত কোনও,1
682,অতিসাধারণ ,1
683,জৌলুসহীন ,1
684,থাকে লক্ষ ,1
685,দেখেসহসা,1
686,আপনজনদের,1
687,খেলেথাকি ,1
688,যাবধুলো,1
689,সবইশুধু,1
690,আছিসারা,1
691,কাটেপ্রতিমা,1
692,অক্ষরের ,1
693,ক্যালেন্ডারময়,1
694,শাদাদেয়ালের,1
695,প্রহরে কখনো,1
696,বিচলিত দাঁড়াই,1
697,লাফ অথবা,1
698,বলেভিয়ার,1
699,জঙ্গলেযে,1
700,গুয়েভারার,1
701,একা চির,1
702,তোহয়নি,1
703,সুর্যোদয় ,1
704,ফাঁসিকাঠেঝোলে,1
705,দিএক ,1
706,কালশিটেদাগ,1
707,কুঁজো,1
708,বিবেক ,1
709,রৌদেজ্যোৎস্নাময়স্বাস্থ্যনিবাসের,1
710,আজএমন,1
711,আরযিশুর,1
712,আভাই,1
713,সম্বলআমার,1
714,নেভাই ,1
715,টানেদূর,1
716,দেয়ালেরশূন্য,1
717,নাগলতা,1
718,জড়িয়েধরে,1
719,নিরিবিলিআলখাল্লা,1
720,হৃদয়ে ব লে,1
721,শুভ্রতায়ডাকেন,1
722,রুমি,1
723,চি,1
724,মিন ,1
725,দায় স্বপ্নে,1
726,আজাদকে,1
727,গুঁজেথাকে,1
728,আলোপ্রিয় ,1
729,প্রায়সকল,1
730,আহরণে,1
731,আরবিভিন্ন,1
732,সৃজন,1
733,মুখরপঙ্‌ক্তিমালা,1
734,ছাত্রদের দিয়েছো,1
735,ভাণ্ডার ,1
736,সবতোমার,1
737,উৎসুক ,1
738,শিক্ষার্থী,1
739,নিবেদনকরেছে,1
740,নাযদিও,1
741,বিশ্ববিদ্যালয়ে ,1
742,দোকানে এবং,1
743,পণ্ডিতদের,1
744,সংঘে গ্রামে,1
745,গঞ্জে ,1
746,উদ্দীপ্ত,1
747,উচ্চারিততোমার,1
748,হীরার,1
749,নামস্বদেশের,1
750,পেরিয়েএখন,1
751,অবদান,1
752,গচ্ছিতজাতির,1
753,ভাণ্ডারে,1
754,কতিপয়সন্ত্রাসীর,1
755,জর্জরিতঅথচ,1
756,কোহিনূর ,1
757,সঙ্গিনী ,1
758,কন্যাদ্বয়,1
759,মৌলি স্মিতা ,1
760,এখনতোমাকে,1
761,নিপীড়নেদূর,1
762,বুকেই,1
763,অতীতেরধরনে,1
764,আজও দেবে,1
765,আলগোছেগোধূলির,1
766,অপসৃয়মাণ,1
767,ছাপটুকু ,1
768,ছায়াতেই,1
769,ইদানীংরোদ্রে,1
770,আঁচ ,1
771,পাজীর,1
772,ঝাড়াএ,1
773,লোকজন ,1
774,পাড়াসর্বত্র,1
775,লুটেরা,1
776,মিটিং বশ্‌ম্বদ ,1
777,বিরামবিহীন আড়ালে,1
778,নির্বিবাদে ,1
779,রাত্তিরেবলবো,1
780,ভিড়ে মল্লিকার,1
781,চমকখেলে,1
782,গোলাপে ,1
783,জবায়খোঁজো,1
784,ভিন্নরূপ ,1
785,ছকছেড়ে,1
786,ভেসেজাগর,1
787,পথেনিঃসঙ্গ,1
788,ঝঞ্ঝাহতঅভিজ্ঞ,1
789,পথনিষ্ঠ,1
790,শ্রমণের,1
791,মতো বিমুখ,1
792,মতে কেটেছে,1
793,বৃক্ষমূলেবসে,1
794,গোত্রহীন,1
795,পাখির আলোজ্বলা,1
796,ক্লান্তির যখন,1
797,যৌবনেরনিকটে,1
798,যারাতাদের,1
799,মনেরঐশ্বর্যে,1
800,ছাড়াকে,1
801,হৃস্পন্দন,1
802,প্রেমময় অথচ,1
803,দেখিথমকে,1
804,বারান্দায়দাঁড়ের,1
805,পাখিটার,1
806,নিখুঁতমটকে,1
807,চেনালাগল,1
808,কিছুদিনশুধু,1
809,ছোপ,1
810,ভেসেবেড়াল,1
811,টিয়েটারকথা,1
812,কিছুকাল এই,1
813,সেদিনমাঝ,1
814,রাত্তিরের,1
815,চিরেবিলায়েত,1
816,খানক্যাসেটে,1
817,ক্রমে হঠাৎ,1
818,বেড়ালের ,1
819,আমারচেয়ারে,1
820,সখনোলেখার,1
821,একজনলোক ,1
822,ফেলতেইসে,1
823,দুটোদেখে,1
824,পেছিয়ে,1
825,গেলামতিন,1
826,বেড়ালেরশব,1
827,ফেলেচলে,1
828,চোখেসে,1
829,থাকলামউঠোনে,1
830,বেড়ালটিকেগুপ্তধনের,1
831,চুপিসারেগচ্ছিত,1
832,পর অন্যদিন,1
833,বিদেশেরকবিতার,1
834,দিয়েসাজালো,1
835,চিতা,1
836,চক্ষুদ্বয়অসহ্য,1
837,অক্ষরমালার,1
838,যেনঅপরূপ,1
839,থাকিপোড়া,1
840,গন্ধময়একলা,1
841,টেবিলে অকস্মাৎ,1
842,গ্রাসকরে,1
843,আকাশকে ,1
844,লোকটাবলা,1
845,নেইঘরে,1
846,কেড়েনিয়ে,1
847,ফেলেসবগুলো,1
848,ক্রিয়াপরায়ণ,1
849,হাতথেকে,1
850,নেয়ারসাহস,1
851,নির্বাসিতকবির,1
852,মতনঅশ্রুপাত,1
853,একেআমার,1
854,করেসে,1
855,নামহীনআতঙ্কে,1
856,সেঁধিয়ে,1
857,হয় যে,1
858,আমারমুখের,1
859,ঠেসে,1
860,ভয়েভয়ে,1
861,যদিআমাদের,1
862,দিন পদধ্বনি,1
863,রোমকূপকাঁটা,1
864,চাঁদটা,1
865,বেজায়বেঁকে,1
866,হয়তোঅকারণেই,1
867,হয়তোএখনই,1
868,বেখাপ্পাঠেকছে ,1
869,ভীষণচড়,1
870,নির্দয়ের,1
871,ধরনেধ্বংস,1
872,অনেকসময়কে,1
873,সবচিত্রের,1
874,আবদানে,1
875,চেহারাকেন,1
876,বরদাস্ত,1
877,না কোনও,1
878,জলাশয়েরকাছে,1
879,কখনওবাজ্যোৎস্নারাতে ,1
880,করুণজলরাশি ,1
881,ছুড়তেপারি,1
882,বাতিলের,1
883,অপছন্দের,1
884,আকর্ষণীয়,1
885,কিছুতেইসেই,1
886,করতেসময় ,1
887,ব্যাঙেরলাফ,1
888,শোঁকা প্রতিজ্ঞা,1
889,কিছুতে অথচ,1
890,পর্যটনে,1
891,কায়ক্লেশেনিঃসঙ্গ,1
892,ধূসরপ্রান্তে,1
893,একা অতীতের,1
894,নিভেযেতে,1
895,ল্যাম্প,1
896,নিশুতরাতের,1
897,আড়ম্বরহীনআয়োজন,1
898,প্রাতঃকালে,1
899,কমেরচিত,1
900,রহিতকবিতার,1
901,পুনরায়সমাজে,1
902,কেউহয়ে,1
903,ঘরে ভয়ঙ্কর,1
904,ঢাকে ,1
905,ছোরারফলা,1
906,নিঃশ্বাস খাতার,1
907,রোদ্দুর শস্যদানা,1
908,খায় নামিয়ে,1
909,মাঝপথে,1
910,কতিপয়দৃশ্য,1
911,গৃহকোণে বিবাগী,1
912,ছুঁতে তোমার,1
913,তার ছুটির,1
914,বীণ তোমার,1
915,বিম্বিত সেদিকে,1
916,জুড়েস্তব্ধ,1
917,প্রথমত এবং,1
918,করেছিলকে,1
919,মুখ্যত ,1
920,জলেচকিতে,1
921,ভেসেছে,1
922,ঘড়া আমার,1
923,ঢেউগহন,1
924,স্বয়ম্বরা ,1
925,শরীরজোড়া,1
926,শাড়ি বাকল,1
927,যৌবনে শিরায়,1
928,হরিণেরা তৃষিত,1
929,যৌবনে ,1
930,আদিমতা তোমার,1
931,পুষ্পিত আমিও,1
932,ভব্যতা,1
933,পাই লোকের,1
934,ব্যঞ্জন শরীরে,1
935,হাতপাখার,1
936,হাওয়া রাখবে,1
937,গেঁথে দেখবে,1
938,যাওয়া আমার,1
939,অঞ্জলিঅর্ঘ,1
940,আমি কখনো,1
941,যাবো দগ্ধ,1
942,জমে কখনো,1
943,ভুলি তোমার,1
944,আশ্রমে ,1
